〇	〇,Ol
㜡	女彳人龰,CSUL
㜢	女口口女,COOC
㜣	女{炙上}犬灬,CSJS
㜤	女覀早,CEKz
㜥	女罒貝,CMNb
㜦	女彐口寸,CBOI
㜧	女厂屮欠,CGAQ
㜨	女尸氺牛,CDAP
㜩	女{向框}米大,CUXF
㜪	立朩女,YICl
㜫	女彳几攵,CSQP
㜬	女⺈八言,CQTY
㜭	女⺌口田,CNOK
㜮	女臣𠂉皿,CFPM
㜯	女匚巳灬,CFDS
㜰	女白幺木,CUAI
㜱	女⺁丅貝,CRJN
㜲	女亠女凡,CYCQ
㜳	女衣罒氺,CWMA
㜴	女艹冖目,CHQN
㜵	女衣馬,CWEm
㜶	女⺈儿丶,CQVW
㜷	弓爾女,DJCg
㜸	艹𠂤辛女,HUYC
㜹	女目目隹,CNNT
㜺	女⺧儿貝,CPVN
㜻	女言糹心,CYAR
㜼	女田冖且,CKQN
㜽	巛子,CBzc
㜾	子人{介下},BUTz
㜿	子予,BByz
㝀	母子,CBzm
㝁	勹日子,SKBz
㝂	子扌丅,BFJz
㝃	子⺈儿,BQVz
㝄	亠口七凵,YOFA
㝅	士冖子殳,JQBQ
㝆	子士口,BJOz
㝇	亠口口子,YOOB
㝈	言糹子子,YABB
㝉	宀一,WGu
㝊	宀又,WDo
㝋	宀了,WBl
㝌	宀⺈丶,WQWu
㝍	宀一乚一,WGCG
㝎	宀之,WZz
㝏	宀人{介下},WUTu
㝐	宀八厶,WTAi
㝑	宀方,WYu
㝒	宀古,WJg
㝓	宀人一口,WUGO
㝔	宀亠八乂,WYTT
㝕	宀心又,WRDo
㝖	宀夕夕,WQQx
㝗	宀丶艮,WWBg
㝘	宀言,WYv
㝙	宀王一八,WEGT
㝚	宀丿止廴,WPLB
㝛	宀亻囗人,WTNU
㝜	宀龷日,WHKv
㝝	宀木木,WIIv
㝞	宀二{亞中},WENu
㝟	宀一見,WGNj
㝠	宀日亠八,WKYT
㝡	宀耳又,WHDo
㝢	宀丿虫冂,WPLM
㝣	宀丰刀大,WIDF
㝤	宀𠀎冂土,WHMJ
㝥	宀爿米,WAXm
㝦	宀隹乃,WTAn
㝧	宀女人土,WCUJ
㝨	宀土口𧘇,WJOR
㝩	宀广彐氺,WWBA
㝪	宀土九丶,WJRW
㝫	宀阝一生,WBGP
㝬	宀丰口夫,WIOJ
㝭	宀忄日生,WUKP
㝮	宀屮示又,WAFD
㝯	宀夭冂口,WRMO
㝰	宀自穴方,WTWY
㝱	宀爿冖夕,WAQQ
㝲	宀爿冖巾,WAQM
㝳	朩丶,IWu
㝴	一兀寸,GGIc
㝵	日一寸,KGIc
㝶	罒儿寸,MVIw
㝷	彐工丶寸,BIWI
㝸	小白儿,CUVx
㝹	小丿儿,CPVx
㝺	䒑彐小丿,XBCP
㝻	革二丿,HEPg
㝼	𠂇乚一𬺰,HCGI
㝽	𠂇乚水,HCAs
㝾	𠂇乚𠂇工,HCHI
㝿	𠂇乚皮,HCDp
㞀	𠂇乚𠂇火,HCHX
㞁	𠂇乚日匕,HCKV
㞂	𠂇乚爫女,HCVC
㞃	八人口尤,TUOJ
㞄	𠂇乚大电,HCFK
㞅	𠂇乚日木,HCKI
㞆	𠂇乚丁口,HCEO
㞇	𠂇乚田{畏下},HCKF
㞈	𠂇乚户冊,HCZM
㞉	𠂇乚羊工,HCXI
㞊	屮凵𠂇乚,AAHC
㞋	尸又,DDo
㞌	尸子,DBz
㞍	尸九丶,DRWu
㞎	尸巴,DDb
㞏	尸丿之,DPZz
㞐	尸立,DYl
㞑	尸二二乚,DEEC
㞒	尸自,DTz
㞓	尸匕日,DVKv
㞔	尸夕夕,DQQx
㞕	尸八月,DTSv
㞖	尸木冂,DIMu
㞗	尸𬺰{四点}丶,DIXW
