曰	日
䦞	日弓水一土
𨷉	日弓水弓日
𰿤	日弓水廿月
𬮍	日弓水廿金
𨷇	日弓水田廿
𬮖	日弓水卜十
𨵍	日弓水卜口
𨴤	日弓水卜女
焛	日弓火
𨳒	日弓火
𡮉	日弓火
𨷐	日弓火日廿
闛	日弓火月土
闣	日弓火月田
𨵥	日弓火竹山
𬮕	日弓火一土
𮤎	日弓火一山
闂	日弓火手山
䦌	日弓土
𣅴	日弓土
𨶮	日弓土月廿
䦙	日弓土木戈
閨	日弓土土
𮤝	日弓土土水
𰿣	日弓土土戈
𨷁	日弓土土山
𮤢	日弓土土女
𨵗	日弓土土卜
闔	日弓土戈廿
𨷂	日弓土十水
䦝	日弓土中金
𨷗	日弓土人一
䦖	日弓土口
𨵉	日弓土廿十
閁	日弓竹
闎	日弓竹日水
𨶠	日弓竹日火
𮤦	日弓竹月大
䦗	日弓竹月廿
𨷯	日弓竹金手
䦭	日弓竹木日
𫔣	日弓竹木弓
𨴷	日弓竹木尸
𨵋	日弓竹木女
𨶸	日弓竹木田
昅	日弓竹水
閣	日弓竹水口
𫔠	日弓竹水卜
𨳝	日弓竹土
𨷕	日弓竹土水
𨷔	日弓竹土火
𨴬	日弓竹土口
𨴐	日弓竹土山
𬮏	日弓竹竹戈
𨴅	日弓竹竹中
𨴖	日弓竹竹女
𨵮	日弓竹十土
𨵞	日弓竹十心
䦚	日弓竹十口
𨷆	日弓竹大一
闙	日弓竹大口
𨷕	日弓竹一水
𨳜	日弓竹一中
𨷵	日弓竹一中
𨳋	日弓竹弓
𭦁	日弓竹弓
𮤠	日弓竹弓木
闏	日弓竹弓戈
𨷪	日弓竹人金
𨷋	日弓竹人大
𨷣	日弓竹人大
𨴠	日弓竹人弓
𨷥	日弓竹人人
閽	日弓竹心日
𨵂	日弓竹心月
𨳯	日弓竹手
𨳺	日弓竹手人
閐	日弓竹手山
𨶇	日弓竹口火
闙	日弓竹口大
𣅅	日弓竹尸
𨴃	日弓竹尸
𬁒	日弓竹尸
閻	日弓竹尸難
闑	日弓竹山木
𮤤	日弓竹山十
𨶑	日弓竹山大
𨵆	日弓竹女火
𮤌	日弓竹女人
閰	日弓竹難
𠕣	日弓竹難
𨉖	日弓竹難竹
𨵹	日弓竹難廿
䦧	日弓竹難山
𨷺	日弓竹難山
𨳮	日弓戈
𭥑	日弓戈
閬	日弓戈日女
𨶙	日弓戈月心
𮤞	日弓戈火尸
𨶳	日弓戈火山
𨴍	日弓戈竹手
𨵊	日弓戈戈
𭥸	日弓戈戈
𭥧	日弓戈十
𨴪	日弓戈十月
𬮇	日弓戈大
䦱	日弓戈大火
闙	日弓戈大口
𨵲	日弓戈大廿
𭥦	日弓戈中
𨶈	日弓戈中口
𠕝	日弓戈弓
𣆚	日弓戈弓
𨴘	日弓戈弓土
𨴱	日弓戈人大
曻	日弓戈手
㫥	日弓戈口
𮤍	日弓戈口
闙	日弓戈口大
閾	日弓戈口一
𨴌	日弓戈尸一
閞	日弓戈廿
𨷭	日弓戈田土
𨷠	日弓戈田土
𨷓	日弓戈難火
𨷚	日弓十日金
闐	日弓十月金
𨵴	日弓十月十
𰿢	日弓十金一
𨴥	日弓十竹心
𨳻	日弓十竹山
𨷡	日弓十戈一
闍	日弓十大日
𨴹	日弓十大木
𨴵	日弓十大戈
𨴛	日弓十大心
𨵄	日弓十一山
𣊟	日弓十人
𨳷	日弓十心
𨷛	日弓十心戈
